1,1740,2078,89
2,2278,3054,84
3,2381,767,113
4,272,1950,71
5,1816,384,97
6,1049,2529,80
7,2456,1282,123
8,2720,3300,88
9,2432,3594,67
10,2732,1509,122
11,2742,861,106
12,913,2228,76
13,261,2418,84
14,1539,774,110
15,2507,687,95
16,2561,1230,109
17,1664,2478,84
18,1543,310,84
19,2249,1666,128
20,2639,2231,128
21,1620,2835,72
22,1586,486,118
23,1397,2090,112
24,2492,2050,135
25,2118,1429,77
26,1086,1120,78
27,769,1451,118
28,1402,822,120
29,2021,2324,69
30,1872,3747,71
31,1051,684,111
32,1872,764,81
33,2240,2907,111
34,2302,2270,78
35,1578,980,71
36,1185,1448,115
37,2396,1445,81
38,1364,2446,101
39,1369,3899,94
40,1895,589,106
41,596,1124,111
42,2819,732,76
43,1115,3622,76
44,1489,2135,89
45,2023,1950,81
46,2597,1135,98
47,1499,1748,128
48,1593,2935,68
49,2397,2115,72
50,1813,2375,104
51,2105,2973,109
52,1710,1727,97
53,1471,2650,96
54,2614,869,63
55,2567,245,67
56,998,2927,74
57,709,974,90
58,1868,2015,101
59,528,1535,99
60,2571,931,83
61,1105,1770,75
62,1888,1651,62
63,2052,2553,104
64,864,1003,105
65,1222,500,88
66,2653,1786,77
67,1512,958,100
68,1394,2810,92
69,2388,3427,74
70,2899,3132,94
71,1363,2193,112
72,386,2511,116
73,660,1270,113
74,302,808,94
75,1865,437,81
76,960,722,85
77,538,1757,120
78,2003,3149,68
79,2530,839,70
80,1081,2706,96
81,188,2689,88
82,1442,3139,99
83,1933,2495,84
84,199,1331,89
85,1324,3999,78
86,1960,1999,113
87,2551,1495,94
88,853,1957,72
89,1901,2806,71
90,860,474,69
91,1322,3007,94
92,1297,59,93
93,1230,3182,100
94,1752,631,86
95,1001,1888,96
96,1353,1018,64
97,1267,568,78
98,1056,1707,69
99,1379,743,82
100,1225,2766,81
101,1094,487,101
102,1335,1901,80
103,2047,3282,79
104,326,2778,90
105,2530,3278,73
106,2946,1317,107
107,2488,3421,101
108,2250,3268,62
109,1712,3672,80
110,1442,390,84
111,1124,429,82
112,1150,1644,119
113,1415,1323,97
114,318,634,103
115,2955,2311,99
116,2058,2168,121
117,1599,2804,101
118,832,3088,74
119,826,1841,90
120,351,3078,95
121,1543,2041,68
122,516,670,98
123,2069,1785,76
124,1571,72,117
125,1041,3136,94
126,2232,3761,87
127,758,551,84
128,1158,786,98
129,1249,954,84
130,1862,2683,81
131,2106,1804,94
132,2506,1505,106
133,1642,373,67
134,2114,1936,136
135,1754,3152,69
136,1931,2282,80
137,1742,715,80
138,2377,1229,94
139,2946,2294,93
140,819,815,102
141,1293,2417,91
142,2534,634,84
143,2085,2403,65
144,2374,2728,88
145,376,1806,90
146,940,2134,104
147,1936,2345,74
148,1973,2227,128
149,1328,3759,87
150,1826,777,70
151,1598,3887,112
152,2254,1364,81
153,398,2003,67
154,837,542,85
155,1095,3308,76
156,2855,766,68
157,979,3448,89
158,2245,3356,108
159,43,1001,72
160,593,1543,81
161,104,1293,88
162,1781,2640,78
163,1206,175,67
164,765,802,88
165,1624,3511,73
166,2551,1645,64
167,220,2272,79
168,270,1426,76
169,1842,3644,72
170,2566,2353,73
171,1914,2755,116
172,2806,2663,72
173,2467,3688,86
174,1283,2608,80
175,977,326,67
176,1289,3816,84
177,848,2197,65
178,1381,2305,92
179,1225,1118,70
180,1702,1858,83
181,1692,3641,63
182,1487,1515,74
183,1881,3202,88
184,2624,471,84
185,2076,3517,64
186,1874,2140,78
187,1128,1931,81
188,1055,970,77
189,1640,1837,74
190,1644,987,67
191,2051,3800,73
192,2105,2398,119
193,1221,2630,66
194,1411,1049,69
195,1901,2226,83
196,448,1427,74
197,436,1231,64
198,2123,2404,66
199,929,1176,85
200,349,1056,107
201,534,1385,123
202,2739,3189,103
203,1805,3174,75
204,1545,3987,114
205,2568,13,65
206,1671,2089,98
207,2413,2730,78
208,1203,3314,67
209,1607,2693,93
210,1850,3477,71
211,751,2924,70
212,1173,1166,76
213,2392,1502,74
214,2744,2831,129
215,1153,1128,123
216,742,37,79
217,2580,3531,76
218,1996,2171,83
219,785,427,64
220,1486,1448,94
221,1538,644,63
222,983,245,76
223,1968,1980,64
224,810,253,87
225,1269,1102,78
226,132,817,92
227,2410,154,67
228,550,2229,70
229,292,3048,108
230,2406,2384,122
231,1739,3636,64
232,2053,3516,81
233,739,441,154
234,1266,3566,109
235,2967,347,99
236,968,2085,117
237,1729,1238,74
238,2643,576,78
239,2441,3172,93
240,1439,1204,81
241,2735,139,85
242,1370,2671,109
243,1678,1354,69
244,1025,1036,121
245,2609,211,88
246,2308,1078,101
247,2556,2413,93
248,2704,1669,74
249,1293,2662,78
250,534,1296,92
251,2762,1757,108
252,2502,3430,63
253,589,945,68
254,2108,3705,75
255,78,3468,70
256,1176,1903,72
257,1857,2325,78
258,1970,1520,84
259,1234,1180,144
260,1799,2597,82
261,1841,674,69
262,1949,3289,68
263,1583,2887,89
264,2012,769,65
265,562,3699,67
266,236,292,70
267,2589,1596,100
268,2426,1799,84
269,1629,1362,70
270,1169,2917,87
271,1751,344,95
272,135,1980,92
273,226,118,97
274,1103,2998,97
275,869,652,106
276,2506,3239,71
277,2149,1056,72
278,2898,670,84
279,2617,2548,77
280,1752,3699,70
281,2942,126,74
282,2137,2990,67
283,1225,2225,87
284,2822,2608,66
285,2873,191,62
286,569,1007,98
287,1916,1303,71
288,301,2290,101
289,356,2867,100
290,1975,782,82
291,2187,3029,89
292,2127,2835,120
293,1291,2242,75
294,1483,1753,66
295,2739,2685,76
296,764,283,72
297,1988,3273,70
298,2007,526,117
299,1371,650,85
300,1736,572,97
301,1737,686,76
302,1346,632,68
303,1192,1930,71
304,1158,1969,96
305,890,430,72
306,2848,671,67
307,2403,2673,74
308,2880,175,105
309,2650,293,85
310,2486,1521,75
311,2131,2813,61
312,1739,1900,69
313,1999,3236,94
314,1384,3326,107
315,2372,3304,92
316,257,1099,67
317,293,1552,73
318,801,980,78
319,2290,1941,92
320,2710,1291,123
321,1069,567,112
322,307,1117,96
323,2548,3020,124
324,771,1620,111
325,2360,1810,126
326,2128,1954,68
327,936,1765,81
328,1805,3650,118
329,2846,1027,69
330,981,1118,94
331,2154,1000,68
332,1794,2686,74
333,1599,879,107
334,825,339,124
335,1095,1029,66
336,2891,769,146
337,2563,3364,79
338,2972,1798,118
339,1944,2317,73
340,1155,567,72
341,2263,624,75
342,1688,286,92
343,1410,2873,99
344,2047,3659,62
345,2408,226,87
346,1456,122,73
347,1149,537,90
348,2985,3263,85
349,1286,2720,93
350,1095,1267,83
351,1840,2224,72
352,2076,1864,87
353,1621,2604,101
354,2778,2559,128
355,1355,1083,122
356,2990,2333,76
357,461,1216,153
358,2813,3775,78
359,1489,2337,109
360,197,2435,110
361,992,1244,66
362,40,1289,86
363,188,2719,81
364,1848,3329,75
365,2219,945,66
366,1827,3766,75
367,1623,2137,74
368,1190,3454,188
369,355,3658,62
370,1179,1277,62
371,1433,4000,72
372,1262,1268,78
373,1589,2437,171
374,694,288,101
375,2046,127,78
376,1297,840,61
377,2967,136,118
378,1687,3672,104
